title;ingredients;instructions;label
Garlic Chicken Fried Chicken;"2 teaspoons garlic powder, or to taste
1 teaspoon ground black pepper
1 teaspoon salt
1 teaspoon paprika
½ cup seasoned bread crumbs
1 cup all-purpose flour
½ cup milk
1 egg
4 skinless, boneless chicken breast halves - pounded thin
1 cup oil for frying, or as needed";"In a shallow dish, mix together the garlic powder, pepper, salt, paprika, bread crumbs and flour. In a separate dish, whisk together the milk and egg.
Heat the oil in an electric skillet set to 350 degrees F (175 degrees C). Dip the chicken into the egg and milk, then dredge in the dry ingredients until evenly coated.
Fry chicken in the hot oil for about 5 minutes per side, or until the chicken is cooked through and juices run clear. Remove from the oil with a slotted spatula, and serve.";regular
Broccoli Chicken Casserole;"4 (5 ounce) skinless, boneless chicken breast halves
1 (10.5 ounce) can condensed cream of mushroom soup (such as Campbell’s)
1 tablespoon mayonnaise
1 pound broccoli florets, cooked
1 cup shredded Cheddar cheese
1 cup dry stuffing mix";"Gather all ingredients.
Preheat the oven to 350 degrees F (175 degrees C).
Place chicken breasts in a large pot and add enough water to completely cover the chicken in liquid; bring to a gentle simmer. Cover tightly with a lid and cook until chicken is no longer pink in the center, about 15 minutes.
Remove chicken from the pot and cut into bite-sized pieces when cool enough to handle.
Mix together condensed soup and mayonnaise in a bowl.
Layer chicken in a 9x13-inch baking dish. Layer cooked broccoli over top, then soup mixture, and finally Cheddar cheese.
Sprinkle dry stuffing mix over top.
Bake in the preheated oven until bubbly and cheese has melted, 25 to 30 minutes.";regular
White Cheese Chicken Lasagna;"9 lasagna noodles
½ cup butter
1 onion, chopped
1 clove garlic, minced
½ cup all-purpose flour
2 cups chicken broth
1 ½ cups milk
1 teaspoon salt
4 cups shredded mozzarella cheese, divided
1 cup grated Parmesan cheese, divided
1 teaspoon dried basil
1 teaspoon dried oregano
½ teaspoon ground black pepper
2 cups ricotta cheese
2 cups cubed, cooked chicken meat
2 (10 ounce) packages frozen chopped spinach, thawed and drained
1 tablespoon chopped fresh parsley";"Gather all ingredients and preheat the oven to 350 degrees F (175 degrees C).
Bring a large pot of lightly salted water to a boil. Add lasagna noodles and cook for 8 to 10 minutes or until al dente; drain and rinse with cold water.
Meanwhile, melt butter in a large saucepan over medium heat; stir in onion and garlic. Whisk in flour until lightly browned and onion is tender, about 2 minutes. Add chicken broth, milk, and salt; cook, whisking continuously, for 1 minute.
Stir in 2 cups mozzarella and 1/4 cup Parmesan until well combined. Season with basil, oregano, and black pepper; remove from heat and set aside.
Spread 1/3 of the sauce mixture in the bottom of a 9x13-inch baking dish.
Layer with 3 lasagna noodles, ricotta, and chicken.
Arrange 3 lasagna noodles over the chicken and layer with 1/3 of the sauce mixture, spinach, remaining 2 cups mozzarella, and 1/2 cup Parmesan.
Arrange remaining noodles over cheese and spread remaining sauce evenly over noodles. Sprinkle with parsley and remaining 1/4 cup Parmesan.
Bake in the preheated oven for 35 to 40 minutes.";regular
Chicken Stir-Fry;"4 cups water
2 cups white rice
⅔ cup soy sauce
¼ cup brown sugar
1 tablespoon cornstarch
1 tablespoon minced fresh ginger
1 tablespoon minced garlic
¼ teaspoon red pepper flakes
3 skinless, boneless chicken breast halves, thinly sliced
2 tablespoons sesame oil, divided
1 head broccoli, broken into florets
1 onion, cut into large chunks
1 cup sliced carrots
1 (8 ounce) can sliced water chestnuts, drained
1 green bell pepper, cut into matchsticks";"Bring water and rice to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until rice is tender, and liquid has been absorbed, 20 to 25 minutes.
Meanwhile, combine soy sauce, brown sugar, and cornstarch in a medium glass or ceramic bowl; stir until smooth. Stir in ginger, garlic, and red pepper flakes; add chicken and stir to coat. Cover and marinate in the refrigerator for at least 15 minutes.
Heat 1 tablespoon sesame oil in a wok or large skillet over medium-high heat. Add broccoli, onion, carrots, water chestnuts, and bell pepper; cook and stir until just tender, about 5 minutes. Transfer vegetables into a dish; set aside.
Heat remaining 1 tablespoon sesame oil in the same wok or skillet over medium-high heat. Add chicken, reserving marinade, and cook until just browned, about 2 minutes per side; stir in vegetables and reserved marinade. Bring to a boil; cook and stir until chicken is no longer pink in the center and vegetables are tender, 5 to 7 minutes. Serve over rice.";regular
Linguine with Garlic-Butter Shrimp;"3 tablespoons olive oil, divided
1 (16 ounce) package fresh linguine pasta
1 pound large shrimp, peeled and deveined
3 tablespoons chopped fresh basil
2 teaspoons minced garlic
3 tablespoons butter, cut up
¼ cup grated Asiago cheese, or to taste";"Bring a large pot of lightly salted water and 1 tablespoon oil to a boil. Cook linguine in the boiling water, stirring occasionally, until tender yet firm to the bite, 7 to 8 minutes. Drain and set aside.
Heat remaining olive oil in a large skillet over medium-high heat. Add shrimp and saute until shrimp turns pink, 3 to 4 minutes. Add basil and garlic; cook for 2 to 3 minutes more.
Add butter and cooked linguine. Toss until butter melts, making sure to coat the linguine with the sauce. Remove from heat. Serve immediately.";regular
Bacon-Ranch Chicken Enchiladas;"cooking spray
2 tablespoons olive oil
¼ cup chopped yellow onion
½ leftover rotisserie chicken, chopped
¼ cup crumbled cooked bacon
2 tablespoons roasted garlic
½ teaspoon salt
½ teaspoon ground black pepper
½ teaspoon garlic powder
1 bunch green onions, chopped
2 tablespoons ranch dressing
2 tablespoons sour cream
15 (6 inch) corn tortillas, or more to taste
2 cups shredded Cheddar-Monterey Jack cheese blend
1 cup mild enchilada sauce";"Preheat the oven to 450 degrees F (230 degrees C). Spray a 9x12-inch brownie pan with cooking spray.
Heat olive oil in a large skillet over medium heat. Add onion and cook until soft, about 5 minutes. Stir in chicken, bacon, and roasted garlic. Season with salt, pepper, and garlic powder. Stir in green onions.
Mix ranch dressing and sour cream together in a small bowl. Remove chicken mixture from heat and stir just enough ranch mixture into the skillet to barely coat chicken.
Hold 1 tortilla and spoon 2 tablespoons chicken mixture across the middle. Sprinkle 1 tablespoon Cheddar-Monterey Jack cheese blend over chicken and roll tortilla up. Place filled tortilla, seam-side down, against the short end of the pan so it does not unroll. Repeat with remaining tortillas and filling until pan is jammed full of enchiladas.
Pour enchilada sauce on top of filled tortillas to cover without drowning them. Sprinkle remaining Cheddar-Monterey Jack cheese blend generously on top of everything.
Bake in the preheated oven until bubbly on top, about 15 minutes.";regular
Quick Salmon Piccata;"¼ cup all-purpose flour
4 (4 ounce) salmon fillets, skin removed
salt and ground black pepper to taste
2 tablespoons vegetable oil
¼ cup dry white wine
1 teaspoon finely minced garlic
½ cup chicken broth
2 tablespoons lemon juice
1 tablespoon capers, drained
2 tablespoons butter
2 slices lemon";"Pour flour into a bowl. Season salmon fillets with salt and pepper, then dredge in flour.
Heat oil in a skillet over medium heat. Add salmon and cook until browned, about 3 minutes per side. Transfer to a plate and keep warm.
Pour wine into the skillet and bring to a boil while scraping the browned bits of food off the bottom of the pan with a wooden spoon. Add garlic; cook until liquid reduces by about half and garlic is fragrant, about 1 minute. Add chicken broth, lemon juice, and capers; stir until mixture comes to a boil. Stir in butter until melted.
Return salmon to the skillet and spoon sauce over top. Cook until salmon flakes easily with a fork, about 2 minutes per side.
Transfer salmon to serving plates. Pour pan sauce over top and garnish with lemon slices.";regular
Buffalo Chicken Pasta Salad;"1 (16 ounce) package dry rotini pasta
1 cup chunky blue cheese dressing
½ cup mayonnaise
½ cup Buffalo wing sauce
1 teaspoon salt
½ teaspoon ground black pepper
1 pound frozen cooked chicken strips, defrosted and diced
1 cup red onion, diced
½ cup red bell pepper, diced
½ cup green bell pepper, diced";"Fill a large pot with lightly salted water and bring to a rolling boil. Stir in rotini and return to a boil. Cook rotini uncovered, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain well in a colander set in the sink.
Combine blue cheese dressing, mayonnaise, Buffalo sauce, salt, and pepper together in a large bowl. Stir in chicken, onion, bell peppers, and rotini; toss to coat. Cover and refrigerate at least 1 hour before serving.";regular
Taco Pasta;"6 ounces spaghetti or other pasta
1 pound ground beef
½ cup diced onion
1 (10.5 ounce) can condensed cream of mushroom soup
1 (10 ounce) can diced tomatoes and green chiles (such as RO*TEL®)
⅔ cup water
1 ounce taco seasoning
1 (8 ounce) package processed cheese (such as Velveeta®), cubed
1 cup shredded sharp Cheddar cheese";"Bring a large pot of lightly salted water to a boil. Cook pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, about 10 to 12 minutes.
Meanwhile, heat a large skillet over medium heat and cook ground beef and onions until meat is browned and onions are soft and translucent, about 5 minutes. Stir in mushroom soup, tomatoes, water, and taco seasoning. Cook until well combined. Add Velveeta and stir until melted, about 5 minutes.
Drain pasta and add to skillet. Top with Cheddar cheese, cover, and let stand until cheese has melted.";regular
Triple Seared Whiskey Burger;"1 pound ground beef (85% lean recommended)
2 teaspoons avocado oil
2 tablespoons sea salt
1/3 cup whiskey
1/4 cup soy sauce";"Wet your hands, and form 2 (8-ounce) burgers; place on a plate, cover, and refrigerate until ready to grill. For this process, cold meat works best.
Before starting the triple-searing process, build a very hot hardwood charcoal fire. Oak, mesquite or hickory are great choices. The coals should be glowing red, and radiating extreme heat before the meat hits the grill.
Rub burgers all over with oil. Coat with sea salt until entire surface area is completely covered.
Pour whiskey into a shallow bowl; set aside.
Place burgers on hottest spot on the grill, and sear both sides, 2 minutes per side.
Transfer burgers into bowl of whiskey, and turn constantly for at least 1 minute. Most of the salt will rinse off.
Place burgers back onto the hottest spot on the grill, and sear both sides again, 2 minutes per side. You can baste steak with a small amount of whiskey while searing.
Add soy sauce to another shallow bowl. Add burgers to the bowl, and turn constantly for at least 1 minute.
Return burgers to the hottest spot on the grill for the 3rd and final sear. Grill each side until desired doneness is reached, about 2 minutes. For a rosy-pink (medium-rare) inside, remove when an instant-read thermometer inserted near the center reads 125 to 130 F (52 to 54 degrees C).";regular
Creamy Sage and Garlic Pork Chops;"4 bone-in rib pork chops, about 3/4-inch thick
salt and freshly ground black pepper to taste
1 1/2 teaspoons rubbed sage, or to taste, divided
1 tablespoon olive oil
2 tablespoons unsalted butter
15 sage leaves
4 cloves garlic, minced
1 tablespoon all-purpose flour
1/2 cup chicken broth or stock
1/2 cup dry white wine
3/4 cup heavy cream";"Pat chops dry with paper towels and season both sides with salt, and pepper. Sprinkle both sides of chops with 1 teaspoon rubbed sage, and set aside.
Heat olive oil and butter in a large skillet over medium heat until sizzling. Add sage leaves in a single layer and cook about 2 minutes. Turn and continue cooking until the leaves are crispy, about 2 more minutes. Remove to a paper towel to drain, then chop.
Add seasoned chops to the same skillet and brown both sides, 3 to 5 minutes per side. Remove chops to a plate.
Add minced garlic to the skillet and cook until fragrant, about 30 seconds. Stir in flour and cook, stirring, until all flour is moistened with the oil and begins to bubble. Add chicken broth and stir rapidly until smooth, 1 to 2 minutes. Pour in white wine and cook, stirring, 1 to 2 minutes. Stir in remaining 1/2 teaspoon rubbed sage.
Gradually stir in cream, and simmer until sauce thickens, about 2 minutes. Return chops to the skillet, and cook in the sauce for an additional 3 to 5 minutes. An instant-read thermometer inserted near the center of chops should read 145 degrees F (63 degrees C).
Sprinkle with chopped fried sage leaves and serve immediately.";regular
Blueberry Pie;"2 ½ cups all-purpose flour
1 teaspoon fine sea salt
2 Tablespoons granulated sugar
1 cup salted butter (chilled, and cut into 1” pieces)
½ cup ice water
6 cups fresh blueberries
½ cup granulated sugar
¼ cup instant tapioca
¼ teaspoon cinnamon
¼ teaspoon fine sea salt
1 ½ Tablespoons lemon juice
1 teaspoon pure vanilla extract
1 large egg yolk
1 Tablespoon whole milk";"Cut butter into ½“ cubes and place the in the freezer.
Put dry crust ingredients in a food processor fitted with an “S” blade and pulse to combine.
Add butter and water and pulse until the dough just holds together when pinched.  If necessary, add more water.  Do not process more than 30 seconds.
Turn the dough onto a lightly-floured work surface and gather into a ball.
Divide the dough in half, flattening each half into a flat circle, cover with plastic wrap, and refrigerate for at least one hour and up to overnight.
After dough has chilled: Remove the dough from the refrigerator and let it sit at room temperature for 4-5 minutes until it’s soft enough to roll.
Place ½ of the dough on well-floured surface or pastry cloth and roll into a circle that is the size of your pie dish.
Carefully put the dough into the pie plate and store covered in fridge until ready to use.
Repeat with the rest of the dough and form into your desired top shape (lattice, cookie cutter shapes, etc). Place dough in the fridge while you make the blueberry filling.
Preheat the oven to 400*F.
Place blueberries in a large mixing bowl.
Add lemon juice and vanilla to the blueberries and stir to combine.
In a small bowl mix together sugar, tapioca, cinnamon and sea salt.
Add the dry ingredients to the blueberries and gently stir until it’s evenly distributed.
Pour the blueberry filling into the prepared pie crust.
Top the filling with your desired pie crust shapes/design.
In a small bowl, whisk together the egg yolk and cream and lightly brush the pie crust with the mixture.
Cover the outer rim of the pie crust with a pie crust shield, or a piece of aluminum foil cut in the shape of the crust.
Bake the pie in the lower third of your oven for about 20 minutes.
After 20 minutes, reduce the oven temperature to 350 degrees F and bake the pie for about 40 – 50 more minutes or until the crust is a deep golden brown color and the juices are bubbling and thick. If necessary, remove the pie crust shield/foil in the last 5-10 minutes of baking.
If the top of the pie begins to brown too quickly before the filling bubbles, cover the entire pie with a loosely fitting tent of aluminum foil.
Place the pie on a wire rack to cool for at least three hours. Serve at room temperature.";regular
